id,titulo,autor,categoria,ano,quantidade
1,Dom Casmurro,Machado de Assis,Romance,1899,5
2,Capitães da Areia,Jorge Amado,Romance,1937,5
4,Algoritmos,Ana Souza,Tecnologia,2021,4
5,História do Brasil,Carlos Lima,História,2018,6
6,Matemática Fácil,Pedro Alves,Educação,2019,7
7,Física Moderna,Marcos Costa,Educação,2017,2
8,Banco de Dados,Fernanda Rocha,Tecnologia,2022,5
9,Geografia Geral,Paulo Santos,Educação,2016,4
10,A Revolução Francesa,Maria Silva,História,2015,3
11,O Pequeno Príncipe,Antoine de Saint-Exupéry,literatura infantojuvenil,1943,3
